# Time,  Ekinetic/au,  Epotential/au,  Etotal/au,  dE/  dE_step
      0.00         0.0000000000       -75.3285038931       -75.3285038931         0.0000000000          0.0000000000
      0.15         0.0004019235       -75.3289070607       -75.3285051371        -0.0000012440         -0.0000012440
      0.29         0.0015880219       -75.3300967778       -75.3285087559        -0.0000048628         -0.0000036188
      0.44         0.0035009952       -75.3320154173       -75.3285144221        -0.0000105291         -0.0000056663
      0.58         0.0060508183       -75.3345724636       -75.3285216452        -0.0000177522         -0.0000072231
      0.73         0.0091221422       -75.3376519789       -75.3285298368        -0.0000259437         -0.0000081915
      0.87         0.0125832068       -75.3411215914       -75.3285383847        -0.0000344916         -0.0000085479
      1.02         0.0162951775       -75.3448418984       -75.3285467209        -0.0000428278         -0.0000083362
      1.16         0.0201209011       -75.3486752735       -75.3285543724        -0.0000504793         -0.0000076515
      1.31         0.0239323084       -75.3524932991       -75.3285609906        -0.0000570976         -0.0000066183
      1.45         0.0276159958       -75.3561823566       -75.3285663609        -0.0000624678         -0.0000053702
      1.60         0.0310768272       -75.3596472204       -75.3285703932        -0.0000665001         -0.0000040323
      1.74         0.0342396557       -75.3628127580       -75.3285731023        -0.0000692092         -0.0000027091
      1.89         0.0370494418       -75.3656240236       -75.3285745817        -0.0000706887         -0.0000014794
      2.03         0.0394701402       -75.3680451169       -75.3285749768        -0.0000710837         -0.0000003950
      2.18         0.0414827449       -75.3700572054       -75.3285744606        -0.0000705675          0.0000005162
      2.32         0.0430828537       -75.3716560682       -75.3285732145        -0.0000693215          0.0000012460
      2.47         0.0442780462       -75.3728494602       -75.3285714140        -0.0000675209          0.0000018006
      2.61         0.0450852996       -75.3736545183       -75.3285692187        -0.0000653256          0.0000021953
      2.76         0.0455285928       -75.3740953604       -75.3285667676        -0.0000628745          0.0000024511
      2.90         0.0456367882       -75.3742009652       -75.3285641770        -0.0000602839          0.0000025906
      3.05         0.0454418321       -75.3740033724       -75.3285615402        -0.0000576471          0.0000026367
      3.19         0.0449772788       -75.3735362087       -75.3285589298        -0.0000550368          0.0000026104
      3.34         0.0442771210       -75.3728335208       -75.3285563997        -0.0000525067          0.0000025301
      3.48         0.0433748958       -75.3719288838       -75.3285539880        -0.0000500949          0.0000024117
      3.63         0.0423030275       -75.3708547472       -75.3285517197        -0.0000478266          0.0000022683
      3.77         0.0410923688       -75.3696419784       -75.3285496096        -0.0000457165          0.0000021101
      3.92         0.0397719032       -75.3683195676       -75.3285476644        -0.0000437713          0.0000019452
      4.06         0.0383685732       -75.3669144579       -75.3285458847        -0.0000419916          0.0000017797
      4.21         0.0369072059       -75.3654514728       -75.3285442669        -0.0000403738          0.0000016178
      4.35         0.0354105115       -75.3639533157       -75.3285428043        -0.0000389112          0.0000014626
      4.50         0.0338991322       -75.3624406204       -75.3285414882        -0.0000375951          0.0000013161
      4.64         0.0323917279       -75.3609320369       -75.3285403089        -0.0000364158          0.0000011793
      4.79         0.0309050839       -75.3594443401       -75.3285392561        -0.0000353631          0.0000010528
      4.93         0.0294542311       -75.3579925508       -75.3285383197        -0.0000344266          0.0000009364
      5.08         0.0280525726       -75.3565900621       -75.3285374895        -0.0000335964          0.0000008302
      5.22         0.0267120103       -75.3552487662       -75.3285367559        -0.0000328628          0.0000007336
      5.37         0.0254430681       -75.3539791780       -75.3285361100        -0.0000322169          0.0000006459
      5.52         0.0225021816       -75.3517121386       -75.3292099571        -0.0007060640         -0.0006738471
      5.66         0.0231559469       -75.3516909956       -75.3285350487        -0.0000311557          0.0006749083
      5.81         0.0221529456       -75.3506875645       -75.3285346189        -0.0000307259          0.0000004298
